Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
rpr	fbgn0011706	Diap1	fbgn0260635	suppressible
Atg1	fbgn0260945	nwk	fbgn0263456	suppressible
DENR	fbgn0030802	eIF2D	fbgn0041588	enhanceable
l(2)gl	fbgn0002121	aPKC	fbgn0261854	suppressible
orb	fbgn0004882	hrg	fbgn0015949	enhanceable
DNAlig4	fbgn0030506	okr	fbgn0002989	enhanceable
S|Egfr	fbgn0003310|fbgn0003731	spi	fbgn0005672	enhanceable
wg	fbgn0284084	puc	fbgn0243512	suppressible
Ser	fbgn0004197	mib1	fbgn0263601	suppressible
Ank2	fbgn0261788	Debcl	fbgn0029131	suppressible
pbl	fbgn0003041	dl	fbgn0260632	enhanceable
Bace	fbgn0032049	Appl	fbgn0000108	suppressible
brat	fbgn0010300	Gpdh1	fbgn0001128	suppressible
kirre	fbgn0028369	zip	fbgn0265434	enhanceable
SH3PX1	fbgn0040475	upd2|upd3	fbgn0030904|fbgn0053542	suppressible
CycE	fbgn0010382	dpp	fbgn0000490	enhanceable
nmo	fbgn0011817	Vang	fbgn0015838	enhanceable
tws	fbgn0004889	arm	fbgn0000117	suppressible
DCTN1-p150	fbgn0001108	klar	fbgn0001316	enhanceable
Lim1	fbgn0026411	B	fbgn0000154	suppressible
gfr|puc	fbgn0084590|fbgn0243512	bru3	fbgn0264001	suppressible
park	fbgn0041100	Nmdmc	fbgn0010222	enhanceable
nolo	fbgn0051619	Oatp30B	fbgn0032123	enhanceable
cmet	fbgn0040232	Ndc80	fbgn0030500	enhanceable
dpp	fbgn0000490	eIF4A	fbgn0001942	suppressible
ninaE	fbgn0002940	ninaE::Btau\RHO	fbgn0265210	suppressible
gwl|polo	fbgn0260399|fbgn0003124	endos	fbgn0061515	enhanceable
Egfr	fbgn0003731	CSN5	fbgn0027053	enhanceable
Sgt1	fbgn0265101	pins	fbgn0040080	enhanceable
Hrs	fbgn0031450	wg	fbgn0284084	suppressible
Syx1A	fbgn0013343	Etl1	fbgn0032157	suppressible
par-1	fbgn0260934	wts	fbgn0011739	suppressible
tll	fbgn0003720	pros	fbgn0004595	suppressible
ecd|B	fbgn0000543|fbgn0000154	trr	fbgn0023518	enhanceable
Lpt	fbgn0263667	ash2	fbgn0000139	suppressible
Dys	fbgn0260003	Cam	fbgn0000253	enhanceable
para	fbgn0285944	Rab32	fbgn0002567	suppressible
eve	fbgn0000606	grn	fbgn0001138	enhanceable
Duox	fbgn0283531	Irc	fbgn0038465	suppressible
pbl	fbgn0003041	CG44774	fbgn0266000	suppressible
Patj	fbgn0067864	crb	fbgn0259685	suppressible
Mad	fbgn0011648	trio	fbgn0024277	enhanceable
numb	fbgn0002973	spdo	fbgn0260440	enhanceable
Rac1	fbgn0010333	bsk	fbgn0000229	suppressible
Myc	fbgn0262656	ago	fbgn0041171	enhanceable
lace	fbgn0002524	Su(H)	fbgn0004837	suppressible
spdo	fbgn0260440	AP-1?	fbgn0024833	suppressible
L	fbgn0267825	arm	fbgn0000117	enhanceable
smo	fbgn0003444	E(smoDN)198	fbgn0083294	enhanceable
fz	fbgn0001085	wg	fbgn0284084	suppressible
ea	fbgn0000533	put	fbgn0003169	enhanceable
per	fbgn0003068	tim	fbgn0014396	enhanceable
slbo	fbgn0005638	slbo::Rat\C-EBP-?	fbgn0016067	suppressible
Rho1	fbgn0014020	p120ctn	fbgn0260799	enhanceable
caup	fbgn0015919	N	fbgn0004647	suppressible
orb	fbgn0004882	Fmr1	fbgn0028734	enhanceable
N	fbgn0004647	E(spl)m8-HLH	fbgn0000591	enhanceable
ap	fbgn0267978	apb	fbgn0000101	enhanceable
Sh	fbgn0003380	rut	fbgn0003301	suppressible
tll	fbgn0003720	Cadps	fbgn0053653	suppressible
foxo	fbgn0038197	Pi3K92E	fbgn0015279	enhanceable
Nct	fbgn0039234	N	fbgn0004647	suppressible
cac	fbgn0263111	mle	fbgn0002774	suppressible
Bx	fbgn0265598	cbt	fbgn0043364	suppressible
Mettl3|Sxl	fbgn0039139|fbgn0264270	msl-2	fbgn0005616	suppressible
vap	fbgn0003969	Ras85D	fbgn0003205	enhanceable
jing	fbgn0086655	sli	fbgn0264089	enhanceable
Sce	fbgn0003330	dome	fbgn0043903	suppressible
Sxl	fbgn0264270	msl-2	fbgn0005616	enhanceable
dome	fbgn0043903	Stat92E	fbgn0016917	enhanceable
Rac1	fbgn0010333	Stat92E	fbgn0016917	suppressible
grp	fbgn0261278	ms(3)K81	fbgn0002838	suppressible
jus	fbgn0039647	E(sda)L	fbgn0066123	enhanceable
Fmr1|mir-277|mir-34	fbgn0028734|fbgn0262419|fbgn0262459	Eip74EF	fbgn0000567	suppressible
sty	fbgn0014388	aop	fbgn0000097	enhanceable
Myt1	fbgn0040298	polo	fbgn0003124	suppressible
shi	fbgn0003392	Chc	fbgn0000319	suppressible
pcx	fbgn0003048	Xbp1	fbgn0021872	suppressible
nej	fbgn0261617	Tpl	fbgn0003739	suppressible
Marf	fbgn0029870	Pdha	fbgn0028325	suppressible
Ras85D	fbgn0003205	cnk	fbgn0286070	enhanceable
Nup44A	fbgn0033247	Nprl2	fbgn0030800	suppressible
Egfr	fbgn0003731	bon	fbgn0023097	suppressible
rho	fbgn0004635	sog	fbgn0003463	enhanceable
trx	fbgn0003862	Asx	fbgn0261823	enhanceable
rumi	fbgn0086253	eys	fbgn0031414	enhanceable
tut	fbgn0052364	Sym	fbgn0037371	enhanceable
Neto	fbgn0265416	Mad	fbgn0011648	enhanceable
comm	fbgn0010105	kuz	fbgn0259984	suppressible
vg	fbgn0003975	Diap1	fbgn0260635	suppressible
Fmr1	fbgn0028734	ppk	fbgn0020258	suppressible
Rac1	fbgn0010333	Arf51F	fbgn0013750	enhanceable
shi	fbgn0003392	Col4a1|vkg	fbgn0000299|fbgn0016075	suppressible
bru1	fbgn0000114	Lk6	fbgn0017581	enhanceable
bsk	fbgn0000229	Jra	fbgn0001291	suppressible
eve	fbgn0000606	Fas2	fbgn0000635	enhanceable
baz	fbgn0000163	zip	fbgn0265434	enhanceable
w	fbgn0003996	Pcf11|Low	fbgn0264962|fbgn0011646	enhanceable
Akt1|Pdk1	fbgn0010379|fbgn0020386	Lk6	fbgn0017581	suppressible
scb	fbgn0286785	LanA|sli	fbgn0002526|fbgn0264089	enhanceable
Chi	fbgn0013764	Nipped-A	fbgn0053554	enhanceable
osk	fbgn0003015	Rbsn-5	fbgn0261064	enhanceable
scb	fbgn0286785	sog	fbgn0003463	enhanceable
WASp	fbgn0024273	H	fbgn0001169	suppressible
ena	fbgn0000578	N	fbgn0004647	enhanceable
ap	fbgn0267978	vg	fbgn0003975	suppressible
lok	fbgn0019686	Cam	fbgn0000253	suppressible
awd	fbgn0000150	Pu	fbgn0003162	enhanceable
kni	fbgn0001320	knrl	fbgn0001323	enhanceable
aos	fbgn0004569	pnt	fbgn0003118	suppressible
robo1	fbgn0005631	sli	fbgn0264089	enhanceable
lok	fbgn0019686	melt	fbgn0023001	suppressible
danr	fbgn0039283	dan	fbgn0039286	enhanceable
Trap1	fbgn0026761	ClpP	fbgn0032229	suppressible
zpg	fbgn0024177	bam	fbgn0000158	enhanceable
mus304	fbgn0002901	nbs	fbgn0261530	enhanceable
pon::pins	fbgn0066333	insc	fbgn0011674	enhanceable
CycB3	fbgn0015625	pbl	fbgn0003041	enhanceable
Vha44	fbgn0262511	bsk	fbgn0000229	suppressible
E2f2	fbgn0024371	Mcm2	fbgn0014861	suppressible
dsh	fbgn0000499	pk	fbgn0003090	enhanceable
smo	fbgn0003444	E(smoDN)M	fbgn0083251	enhanceable
ds	fbgn0284247	wap	fbgn0266848	suppressible
png	fbgn0000826	CycA	fbgn0000404	enhanceable
Pten	fbgn0026379	Tor	fbgn0021796	suppressible
bwk	fbgn0004884	Src42A	fbgn0264959	enhanceable
sicily	fbgn0030352	NLaz	fbgn0053126	suppressible
Smox	fbgn0025800	Spn100A	fbgn0039795	suppressible
gro	fbgn0001139	CG12299	fbgn0032295	enhanceable
wg	fbgn0284084	fz2	fbgn0016797	enhanceable
step	fbgn0086779	shg	fbgn0003391	enhanceable
mus301	fbgn0002899	mei-41	fbgn0004367	suppressible
ci	fbgn0004859	Su(hh)IV	fbgn0043563	suppressible
pbl	fbgn0003041	apt	fbgn0015903	enhanceable
stwl	fbgn0003459	nos	fbgn0002962	suppressible
Chi	fbgn0013764	CG9932	fbgn0262160	suppressible
ft	fbgn0001075	jub	fbgn0030530	suppressible
Ssdp	fbgn0011481	Tnks	fbgn0027508	suppressible
Pi3K92E	fbgn0015279	chico	fbgn0024248	enhanceable
baz	fbgn0000163	ed	fbgn0000547	enhanceable
mir-124	fbgn0262398	tra	fbgn0003741	suppressible
spdo	fbgn0260440	fng|numb	fbgn0011591|fbgn0002973	suppressible
pb	fbgn0051481	Scr	fbgn0003339	suppressible
Dcp-1	fbgn0010501	Dl	fbgn0000463	enhanceable
aPKC	fbgn0261854	Dhc64C	fbgn0261797	suppressible
wg	fbgn0284084	ovo	fbgn0003028	suppressible
Idh	fbgn0001248	Dronc	fbgn0026404	suppressible
Ctr1B	fbgn0062412	ATP7	fbgn0030343	suppressible
Chi	fbgn0013764	Hydr2	fbgn0014906	suppressible
Dfd	fbgn0000439	apt	fbgn0015903	enhanceable
Dref	fbgn0015664	E(Pc)	fbgn0000581	suppressible
w	fbgn0003996	su(f)	fbgn0003559	enhanceable
N	fbgn0004647	Pi3K68D	fbgn0015278	enhanceable
mor	fbgn0002783	Su(var)3-3	fbgn0260397	suppressible
Zip42C.1|ZnT63C	fbgn0033096|fbgn0035432	ZnT86D	fbgn0037875	suppressible
H	fbgn0001169	puc	fbgn0243512	enhanceable
pnr	fbgn0003117	EP416	fbgn0063364	enhanceable
sl	fbgn0003416	rl	fbgn0003256	suppressible
if	fbgn0001250	mys	fbgn0004657	enhanceable
TrpA1	fbgn0035934	Tk	fbgn0037976	suppressible
cpa	fbgn0034577	yki	fbgn0034970	suppressible
upd1	fbgn0004956	dome	fbgn0043903	suppressible
mei-41	fbgn0004367	CycB	fbgn0000405	suppressible
CASK	fbgn0013759	CaMKII	fbgn0264607	suppressible
shg	fbgn0003391	tws	fbgn0004889	suppressible
w	fbgn0003996	kis	fbgn0266557	enhanceable
w	fbgn0003996	Pcf11	fbgn0264962	suppressible
Rac1	fbgn0010333	Act5C	fbgn0000042	suppressible
mir-315	fbgn0262461	Notum	fbgn0044028	suppressible
Sin3A	fbgn0022764	Diap1	fbgn0260635	enhanceable
danr	fbgn0039283	N	fbgn0004647	suppressible
wg	fbgn0284084	eca	fbgn0069242	suppressible
EP595a	fbgn0043587	N	fbgn0004647	enhanceable
L	fbgn0267825	Jra	fbgn0001291	enhanceable
foxo	fbgn0038197	Cln3	fbgn0036756	enhanceable
Pten	fbgn0026379	chico	fbgn0024248	suppressible
Rbf|Stam	fbgn0015799|fbgn0027363	Ras85D	fbgn0003205	suppressible
hpo	fbgn0261456	wts	fbgn0011739	suppressible
mxc	fbgn0260789	Pc	fbgn0003042	enhanceable
Abl	fbgn0000017	Ptp61F	fbgn0267487	enhanceable
yki	fbgn0034970	cact	fbgn0000250	suppressible
pnr	fbgn0003117	EP646	fbgn0062644	suppressible
neb	fbgn0004374	stau	fbgn0003520	enhanceable
ncd	fbgn0002924	?Tub67C	fbgn0087040	enhanceable
lama	fbgn0016031	ttk	fbgn0003870	enhanceable
CycE	fbgn0010382	pnt	fbgn0003118	suppressible
fru	fbgn0004652	hb	fbgn0001180	suppressible
CycE	fbgn0010382	Zn72D	fbgn0263603	suppressible
Psc	fbgn0005624	Marcal1	fbgn0031655	suppressible
Bx|ap	fbgn0265598|fbgn0267978	CG8369	fbgn0040532	suppressible
yki	fbgn0034970	Ncoa6::sd	fbgn0267973	suppressible
Pros?6|Pros?2	fbgn0002284|fbgn0023174	Tnks	fbgn0027508	enhanceable
aop	fbgn0000097	EY2-8	fbgn0040330	enhanceable
Ced-12	fbgn0032409	spg	fbgn0264324	enhanceable
aop	fbgn0000097	mir-7	fbgn0262370	enhanceable
Vrp1	fbgn0243516	dock	fbgn0010583	enhanceable
egh	fbgn0001404	Akt1	fbgn0010379	suppressible
ed	fbgn0000547	aos	fbgn0004569	enhanceable
sev	fbgn0003366	ato	fbgn0010433	suppressible
caz	fbgn0285954	lncRNA:Hsr?	fbgn0001234	suppressible
shn	fbgn0003396	CycE	fbgn0010382	suppressible
ry	fbgn0003308	ZnT35C	fbgn0028516	suppressible
Dfd	fbgn0000439	hh	fbgn0004644	enhanceable
Dg	fbgn0034072	chif	fbgn0000307	enhanceable
PIG-B	fbgn0035464	PIG-B::Tcas\PIGB	fbgn0286975	suppressible
mad2	fbgn0035640	cact	fbgn0000250	suppressible
Sec15	fbgn0266674	N	fbgn0004647	suppressible
chb	fbgn0021760	RfC38	fbgn0028700	suppressible
fu	fbgn0001079	hh	fbgn0004644	suppressible
nos	fbgn0002962	pho	fbgn0002521	suppressible
hep	fbgn0010303	chic	fbgn0000308	enhanceable
Fancm	fbgn0038889	mus81|slx1	fbgn0040347|fbgn0037263	suppressible
dlg1	fbgn0001624	grim	fbgn0015946	enhanceable
kay	fbgn0001297	sty	fbgn0014388	enhanceable
EcR	fbgn0000546	Nurf-38	fbgn0016687	enhanceable
foi	fbgn0024236	Zip71B	fbgn0036461	suppressible
mam	fbgn0002643	dx	fbgn0000524	enhanceable
Tsc1|gig	fbgn0026317|fbgn0005198	Atg18a	fbgn0035850	suppressible
Duox	fbgn0283531	Bl	fbgn0000193	suppressible
pnr	fbgn0003117	EP787	fbgn0043380	suppressible
chico	fbgn0024248	rut	fbgn0003301	suppressible
Lrrk	fbgn0038816	EndoA	fbgn0038659	suppressible
Cul1	fbgn0015509	Pten	fbgn0026379	suppressible
SAK	fbgn0026371	Sas-4	fbgn0011020	suppressible
?Snap	fbgn0250791	Syx1A	fbgn0013343	enhanceable
E2f2	fbgn0024371	Orc5	fbgn0015271	suppressible
wg	fbgn0284084	Coop	fbgn0263240	enhanceable
snf|Sxl	fbgn0003449|fbgn0264270	snRNP-U1-70K	fbgn0016978	enhanceable
Smox	fbgn0025800	DJ-1?	fbgn0033885	suppressible
Psn	fbgn0284421	S	fbgn0003310	enhanceable
hep	fbgn0010303	foxo	fbgn0038197	suppressible
dnc	fbgn0000479	rut	fbgn0003301	enhanceable
hh	fbgn0004644	disp	fbgn0029088	enhanceable
smo	fbgn0003444	JHDM2	fbgn0037703	suppressible
Dscam1	fbgn0033159	dock	fbgn0010583	enhanceable
csw	fbgn0000382	drk	fbgn0004638	enhanceable
orb	fbgn0004882	CkII?	fbgn0000259	enhanceable
HipHop	fbgn0036815	ms(3)K81	fbgn0002838	suppressible
chb	fbgn0021760	Su(z)2	fbgn0265623	suppressible
wit	fbgn0024179	WASp	fbgn0024273	suppressible
Antp	fbgn0260642	Ubx	fbgn0003944	enhanceable
vir	fbgn0003977	msl-1	fbgn0005617	suppressible
Camta	fbgn0259234	G?q	fbgn0004435	suppressible
sca	fbgn0003326	N	fbgn0004647	enhanceable
scrib	fbgn0263289	Rab5	fbgn0014010	suppressible
Lar	fbgn0000464	trio	fbgn0024277	enhanceable
Pten	fbgn0026379	ImpL2	fbgn0001257	enhanceable
emc	fbgn0000575	Dl	fbgn0000463	suppressible
Mer	fbgn0086384	grk	fbgn0001137	suppressible
rst	fbgn0003285	E(rst)H125	fbgn0044084	enhanceable
Dref	fbgn0015664	dome	fbgn0043903	enhanceable
trn	fbgn0010452	caps::trn	fbgn0086257	suppressible
Jra|kay	fbgn0001291|fbgn0001297	CrebB	fbgn0265784	suppressible
gcm	fbgn0014179	osa	fbgn0261885	enhanceable
B	fbgn0000154	Low	fbgn0011646	suppressible
tefu	fbgn0045035	mus304	fbgn0002901	enhanceable
sens	fbgn0002573	E(spl)m8-HLH	fbgn0000591	suppressible
ci	fbgn0004859	Su(hh)III	fbgn0043564	suppressible
Fmr1	fbgn0028734	stau	fbgn0003520	enhanceable
Egfr	fbgn0003731	Pvr	fbgn0032006	enhanceable
numb	fbgn0002973	Myc	fbgn0262656	suppressible
N	fbgn0004647	Vha55	fbgn0005671	suppressible
Atg9	fbgn0034110	S6k	fbgn0283472	suppressible
Ilp2	fbgn0036046	Ide	fbgn0001247	suppressible
Gas41	fbgn0031873	armi	fbgn0041164	enhanceable
Sgsh	fbgn0038660	sfl	fbgn0020251	enhanceable
lok	fbgn0019686	polo	fbgn0003124	suppressible
Crtc	fbgn0036746	CrebB	fbgn0265784	suppressible
smo	fbgn0003444	E(smoDN)1824	fbgn0083299	enhanceable
sky	fbgn0032901	Hrs	fbgn0031450	suppressible
Pink1	fbgn0029891	Pi3K21B	fbgn0020622	suppressible
eyg	fbgn0000625	Su(H)	fbgn0004837	suppressible
Trp?	fbgn0032593	Calx	fbgn0013995	suppressible
Dcp-1	fbgn0010501	ninaA	fbgn0002936	suppressible
Ptp61F	fbgn0267487	Stat92E	fbgn0016917	suppressible
Abl	fbgn0000017	sli	fbgn0264089	enhanceable
bam	fbgn0000158	Socs36E	fbgn0041184	enhanceable
l(3)mbt	fbgn0002441	Pxt	fbgn0261987	suppressible
ci	fbgn0004859	yki	fbgn0034970	suppressible
r	fbgn0003189	su(Hw)	fbgn0003567	suppressible
ninaE	fbgn0002940	sip3	fbgn0039875	suppressible
Egfr	fbgn0003731	klu	fbgn0013469	suppressible
robo1	fbgn0005631	Sdc	fbgn0010415	enhanceable
cathD	fbgn0029093	schlank	fbgn0040918	enhanceable
pbl	fbgn0003041	Tlk	fbgn0283657	enhanceable
hkb	fbgn0261434	klar	fbgn0001316	suppressible
px	fbgn0003175	bs	fbgn0004101	enhanceable
dx	fbgn0000524	Su(dx)	fbgn0003557	suppressible
PGRP-LF	fbgn0035977	PGRP-LC	fbgn0035976	suppressible
Smox	fbgn0025800	Cyp9c1	fbgn0015040	suppressible
fng	fbgn0011591	Bx	fbgn0265598	suppressible
Dp|E2f1	fbgn0011763|fbgn0011766	rl	fbgn0003256	enhanceable
Ras85D	fbgn0003205	Src42A	fbgn0264959	suppressible
nmo	fbgn0011817	miple1	fbgn0027111	enhanceable
Ask1	fbgn0014006	lic	fbgn0261524	suppressible
Ctr1B	fbgn0062412	MtnA	fbgn0002868	suppressible
pnr	fbgn0003117	Iswi	fbgn0011604	suppressible
spn-B	fbgn0003480	mei-W68	fbgn0002716	suppressible
arm	fbgn0000117	skd	fbgn0003415	enhanceable
bs	fbgn0004101	emc	fbgn0000575	enhanceable
sog|tsg	fbgn0003463|fbgn0003865	tld	fbgn0003719	suppressible
wg	fbgn0284084	fz2	fbgn0016797	suppressible
jub	fbgn0030530	aurA	fbgn0000147	suppressible
Gprk2	fbgn0261988	Pka-C1	fbgn0000273	enhanceable
Kr	fbgn0001325	caps	fbgn0023095	suppressible
dysc	fbgn0264006	slo	fbgn0003429	suppressible
N	fbgn0004647	Dcr-1	fbgn0039016	suppressible
Tao	fbgn0031030	wts	fbgn0011739	suppressible
dsh	fbgn0000499	bsk	fbgn0000229	suppressible
tefu	fbgn0045035	rad50	fbgn0034728	enhanceable
Cap-H2	fbgn0037831	tef	fbgn0086350	suppressible
Raf	fbgn0003079	Ras85D	fbgn0003205	enhanceable
dsh	fbgn0000499	Rac1	fbgn0010333	suppressible
lok	fbgn0019686	CG2003	fbgn0039886	suppressible
Btk29A	fbgn0003502	Src64B	fbgn0262733	enhanceable
htl	fbgn0010389	Egfr	fbgn0003731	enhanceable
Nsf2	fbgn0266464	igl	fbgn0013467	suppressible
RpII140	fbgn0262955	su(RpII140<up>Z36</up>)S12	fbgn0025135	suppressible
tow	fbgn0035719	sqh	fbgn0003514	enhanceable
aos	fbgn0004569	Hsp60D	fbgn0032525	suppressible
jar	fbgn0011225	slbo	fbgn0005638	suppressible
mod(mdg4)|sc	fbgn0002781|fbgn0004170	Su(mg)1-7	fbgn0023161	suppressible
l(2)gl	fbgn0002121	aPKC	fbgn0261854	enhanceable
L	fbgn0267825	S6k	fbgn0283472	enhanceable
hep	fbgn0010303	bsk	fbgn0000229	suppressible
ct	fbgn0004198	Vha68-2	fbgn0263598	suppressible
hpo	fbgn0261456	trr	fbgn0023518	suppressible
Cp16	fbgn0000356	ttk	fbgn0003870	enhanceable
unc-5	fbgn0034013	robo1	fbgn0005631	enhanceable
hppy	fbgn0263395	Buffy	fbgn0040491	suppressible
so	fbgn0003460	eya	fbgn0000320	enhanceable
RPA3	fbgn0266421	numb	fbgn0002973	suppressible
Rh7|cry	fbgn0036260|fbgn0025680	Rh4	fbgn0003250	suppressible
Egfr	fbgn0003731	Raf	fbgn0003079	suppressible
CkII?	fbgn0264492	CkII?	fbgn0000259	enhanceable
Atg1|trp	fbgn0260945|fbgn0003861	park	fbgn0041100	suppressible
ex	fbgn0004583	wg	fbgn0284084	suppressible
Sema1a	fbgn0011259	sgl	fbgn0261445	enhanceable
foi	fbgn0024236	shg	fbgn0003391	suppressible
Rac1	fbgn0010333	bsk	fbgn0000229	suppressible
rpr	fbgn0011706	Ilp2	fbgn0036046	suppressible
Egfr	fbgn0003731	net	fbgn0002931	enhanceable
Ras85D|sev	fbgn0003205|fbgn0003366	l(3)03608	fbgn0026222	suppressible
Apc2|Apc	fbgn0026598|fbgn0015589	pygo	fbgn0043900	suppressible
osk	fbgn0003015	Su(osk)E2	fbgn0020898	suppressible
CG12084	fbgn0043458	CycE	fbgn0010382	suppressible
IKK?	fbgn0086657	Dronc	fbgn0026404	enhanceable
arr	fbgn0000119	puc	fbgn0243512	enhanceable
E2f1	fbgn0011766	Su(E1)-N	fbgn0262780	suppressible
tkv	fbgn0003716	Tollo	fbgn0029114	suppressible
ct	fbgn0004198	lwr	fbgn0010602	enhanceable
kni	fbgn0001320	God60D	fbgn0015231	suppressible
Trxr-1	fbgn0020653	Cat	fbgn0000261	enhanceable
sd	fbgn0003345	sens	fbgn0002573	enhanceable
Dif	fbgn0011274	dl	fbgn0260632	enhanceable
Ras85D	fbgn0003205	dlg1	fbgn0001624	enhanceable
EcR	fbgn0000546	Smr	fbgn0265523	suppressible
Su(var)205|Sxl	fbgn0003607|fbgn0264270	cav	fbgn0026257	suppressible
RN-tre	fbgn0020620	Rab11	fbgn0015790	enhanceable
Blos1	fbgn0050077	cm	fbgn0000330	enhanceable
hpo	fbgn0261456	wts	fbgn0011739	enhanceable
Hs6st	fbgn0038755	Hsepi	fbgn0033087	enhanceable
pzg	fbgn0259785	H	fbgn0001169	suppressible
TBPH	fbgn0025790	sens	fbgn0002573	suppressible
AP-1?	fbgn0024833	Dl|Ser	fbgn0000463|fbgn0004197	suppressible
TBPH	fbgn0025790	glo	fbgn0259139	enhanceable
upd1	fbgn0004956	esg	fbgn0001981	suppressible
Ubx|Trl	fbgn0003944|fbgn0013263	pho	fbgn0002521	enhanceable
ftz	fbgn0001077	hth	fbgn0001235	enhanceable
ninaE	fbgn0002940	Cdc42	fbgn0010341	suppressible
GckIII	fbgn0266465	Nsf2	fbgn0266464	suppressible
pnr	fbgn0003117	Pdi	fbgn0286818	suppressible
PlexA	fbgn0025741	14-3-3?	fbgn0020238	enhanceable
Acn	fbgn0263198	Atg1	fbgn0260945	suppressible
da	fbgn0267821	E(da)	fbgn0000548	enhanceable
emc	fbgn0000575	bs	fbgn0004101	enhanceable
smo	fbgn0003444	mirr	fbgn0014343	enhanceable
brm|trx	fbgn0000212|fbgn0003862	Bap60	fbgn0025463	enhanceable
Rac1	fbgn0010333	pk	fbgn0003090	suppressible
egr	fbgn0033483	Dronc	fbgn0026404	suppressible
comm	fbgn0010105	Sdc	fbgn0010415	suppressible
slpr	fbgn0030018	Tak1	fbgn0026323	enhanceable
4-Sep	fbgn0259923	Nedd4	fbgn0259174	enhanceable
sog	fbgn0003463	tsg	fbgn0003865	enhanceable
Duox	fbgn0283531	CG6145	fbgn0033853	suppressible
Dcp-1	fbgn0010501	Atg1	fbgn0260945	suppressible
Socs44A	fbgn0033266	aos	fbgn0004569	enhanceable
Sos	fbgn0001965	sev	fbgn0003366	suppressible
Ocrl	fbgn0023508	Rab7	fbgn0015795	suppressible
N	fbgn0004647	anon-XIII	fbgn0019851	enhanceable
Zip71B	fbgn0036461	Zip99C	fbgn0039714	suppressible
vari	fbgn0250785	dpy	fbgn0053196	enhanceable
pnr	fbgn0003117	EP531	fbgn0062646	suppressible
Dronc	fbgn0026404	sgg	fbgn0003371	enhanceable
Dad1	fbgn0263852	wnd	fbgn0036896	suppressible
Rho1	fbgn0014020	capu	fbgn0000256	enhanceable
unc-5	fbgn0034013	Fas2|Nrg|beat-Ia	fbgn0000635|fbgn0264975|fbgn0013433	enhanceable
svp	fbgn0003651	Ras85D	fbgn0003205	enhanceable
boi	fbgn0040388	hh	fbgn0004644	suppressible
G?i	fbgn0001104	meru	fbgn0052150	enhanceable
SRm160	fbgn0036340	Dcp-1	fbgn0010501	suppressible
raw	fbgn0003209	bsk	fbgn0000229	suppressible
Lrrk	fbgn0038816	eIF4E1	fbgn0015218	suppressible
ics	fbgn0028546	stck	fbgn0020249	suppressible
mys	fbgn0004657	sli	fbgn0264089	enhanceable
para	fbgn0285944	Rab35	fbgn0031090	suppressible
TkR99D	fbgn0004622	en	fbgn0000577	suppressible
N	fbgn0004647	dx	fbgn0000524	suppressible
sens	fbgn0002573	S(ls)1	fbgn0086201	suppressible
w	fbgn0003996	E(z)	fbgn0000629	suppressible
pad	fbgn0038418	h	fbgn0001168	enhanceable
Vap33	fbgn0029687	tkv	fbgn0003716	suppressible
bw	fbgn0000241	LA2.1	fbgn0262829	suppressible
ci	fbgn0004859	arm	fbgn0000117	suppressible
nej	fbgn0261617	l(3)71DEc	fbgn0027144	suppressible
Su(H)	fbgn0004837	CtBP	fbgn0020496	enhanceable
Doa	fbgn0265998	CycC	fbgn0004597	suppressible
sca	fbgn0003326	Hs3st-B	fbgn0031005	enhanceable
Rac2	fbgn0014011	ttk	fbgn0003870	enhanceable
dsh	fbgn0000499	tws	fbgn0004889	suppressible
PlexA	fbgn0025741	Ras64B	fbgn0003206	suppressible
mys	fbgn0004657	ics	fbgn0028546	suppressible
Egfr	fbgn0003731	vn	fbgn0003984	enhanceable
brn	fbgn0000221	da	fbgn0267821	enhanceable
cmb	fbgn0036365	in	fbgn0001259	enhanceable
H	fbgn0001169	MESR4	fbgn0034240	enhanceable
cact	fbgn0000250	fus	fbgn0023441	enhanceable
Ubqn	fbgn0031057	TBPH	fbgn0025790	enhanceable
w	fbgn0003996	su(Hw)	fbgn0003567	enhanceable
Ras85D|sev	fbgn0003205|fbgn0003366	Psa	fbgn0261243	suppressible
Gen	fbgn0263831	mus81	fbgn0040347	enhanceable
norpA	fbgn0262738	cry	fbgn0025680	enhanceable
dlg1	fbgn0001624	cno	fbgn0259212	enhanceable
smo	fbgn0003444	lwr	fbgn0010602	enhanceable
L	fbgn0267825	EP1410	fbgn0084135	enhanceable
Pi3K92E	fbgn0015279	pix	fbgn0086706	enhanceable
aub	fbgn0000146	mei-41	fbgn0004367	suppressible
asp	fbgn0000140	asl	fbgn0261004	enhanceable
ed	fbgn0000547	Nrg	fbgn0264975	suppressible
brat	fbgn0010300	Zw	fbgn0004057	suppressible
shg	fbgn0003391	arm	fbgn0000117	enhanceable
HUWE1	fbgn0030674	Tab2	fbgn0086358	suppressible
smo	fbgn0003444	E(smoDN)548	fbgn0083263	enhanceable
peb	fbgn0003053	l(2)k15826	fbgn0021832	suppressible
Raf	fbgn0003079	kis	fbgn0266557	enhanceable
PRAS40	fbgn0267824	Rheb	fbgn0041191	suppressible
sax	fbgn0003317	Mad	fbgn0011648	suppressible
dlp	fbgn0041604	Notum	fbgn0044028	enhanceable
spn-D	fbgn0003482	lok	fbgn0019686	suppressible
